Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
New Feature,Pendente,Jaguar Mining,29/09/2025,23:55,
Bug,Em progresso,Sintesc,29/09/2025,00:12,22:56
New Feature,Pendente,EaseLabs,26/09/2025,00:11,22:31
New Feature,Pendente,Sintesc,26/09/2025,23:51,
New Feature,Pendente,EaseLabs,25/09/2025,23:03,
New Feature,Pendente,Dr. de Todos,25/09/2025,00:20,14:39
Bug,Em progresso,Sintesc,25/09/2025,-00:37:00,13:42
Bug,Em progresso,Sintesc,25/09/2025,00:16,11:30
Bug,Em progresso,Claro - Hub de Aparelhos,24/09/2025,00:00,03:57
Bug,Em progresso,Claro - Hub de Aparelhos,24/09/2025,00:15,03:38
Bug,Entregue,Claro - Hub de Aparelhos,24/09/2025,-00:30:00,21:17
Bug,Em progresso,Sintesc,24/09/2025,00:16,-00:22:00
Bug,Entregue,Sintesc,23/09/2025,00:15,20:06
New Feature,Pendente,Claro - Hub de Aparelhos,22/09/2025,-00:07:00,-11:58:00
New Feature,Em progresso,Claro - Hub de Aparelhos,22/09/2025,-00:17:00,-12:11:00
Bug,Entregue,Sintesc,22/09/2025,00:17,02:35
New Feature,Pendente,Jaguar Mining,22/09/2025,23:50,
Bug,Em progresso,Claro - Antiquebra,19/09/2025,-00:18:00,-25:20:00
New Feature,Pendente,Sintesc,19/09/2025,23:15,
New Feature,Entregue,EaseLabs,18/09/2025,00:20,08:00
Bug,Em progresso,Mais Alívio,18/09/2025,23:58,-04:15:00
Bug,Entregue,Sintesc,18/09/2025,00:17,21:26
New Feature,Pendente,Claro - Hub de Aparelhos,17/09/2025,-33:20:00,
Bug,Entregue,Sintesc,17/09/2025,00:15,-20:43:00
Bug,Em progresso,Sintesc,17/09/2025,00:16,-38:18:00
Bug,Entregue,Claro - Hub de Aparelhos,16/09/2025,00:17,19:11
Bug,Em progresso,Claro - Hub de Aparelhos,16/09/2025,-00:09:00,-43:11:00
New Feature,Entregue,Sintesc,16/09/2025,00:18,-25:52:00
Bug,Entregue,Sintesc,16/09/2025,-00:53:00,-40:15:00
Bug,Entregue,Sintesc,15/09/2025,00:08,-47:28:00
Bug,Em progresso,Sintesc,15/09/2025,-01:30:00,-53:45:00
Bug,Entregue,Sintesc,15/09/2025,-00:01:00,00:20
Bug,Entregue,Sintesc,15/09/2025,00:15,-38:24:00
Bug,Em progresso,Sintesc,13/09/2025,-00:07:00,-57:20:00
Bug,Em progresso,Claro - Hub de Aparelhos,12/09/2025,-00:04:00,-58:16:00
Bug,Em progresso,Claro - Hub de Aparelhos,12/09/2025,00:16,-58:29:00
New Feature,Entregue,Claro - Hub de Aparelhos,12/09/2025,00:17,-50:23:00
New Feature,Em progresso,Claro - Hub de Aparelhos,12/09/2025,00:10,-59:09:00
Bug,Em progresso,Claro - Antiquebra,12/09/2025,00:17,-62:23:00
New Feature,Pendente,Claro - Hub de Aparelhos,11/09/2025,-00:13:00,-65:20:00
Bug,Em progresso,Claro - Hub de Aparelhos,11/09/2025,-01:29:00,-65:20:00
Bug,Entregue,Sintesc,11/09/2025,-00:23:00,15:20
Bug,Em progresso,Sintesc,10/09/2025,00:11,-78:14:00
New Feature,Pendente,Solução em Focco,10/09/2025,00:18,-79:11:00
New Feature,Entregue,Sintesc,10/09/2025,00:05,-15:10:00
Bug,Entregue,Sintesc,10/09/2025,00:13,-76:31:00
Bug,Entregue,Sintesc,09/09/2025,00:10,23:50
Bug,Em progresso,Claro - Antiquebra,09/09/2025,-00:27:00,-89:20:00
Bug,Pendente,Claro - Antiquebra,08/09/2025,-00:27:00,-89:20:00
Bug,Entregue,Sintesc,08/09/2025,00:09,-86:28:00
New Feature,Entregue,Sintesc,08/09/2025,00:17,20:30
New Feature,Pendente,Sintesc,08/09/2025,23:49,
New Feature,Entregue,Jaguar Mining,08/09/2025,23:43,
Bug,Entregue,Sintesc,08/09/2025,00:05,-92:37:00
Bug,Entregue,Sintesc,08/09/2025,-45:18:00,-21:38:00
New Feature,Pendente,Claro - Antiquebra,08/09/2025,22:50,-73:20:00
New Feature,Pendente,Claro - Antiquebra,07/09/2025,22:54,
New Feature,Pendente,Claro - Antiquebra,07/09/2025,22:55,
New Feature,Pendente,Claro - Antiquebra,07/09/2025,22:56,
New Feature,Em progresso,Claro - Antiquebra,07/09/2025,22:58,-73:20:00
Bug,Pendente,Claro - Antiquebra,06/09/2025,-00:23:00,-97:20:00
Bug,Pendente,Claro - Antiquebra,06/09/2025,-00:21:00,-97:20:00
Bug,Em progresso,Claro - Antiquebra,06/09/2025,-00:19:00,-97:20:00
New Feature,Em progresso,Claro - Antiquebra,06/09/2025,23:00,
Bug,Entregue,Claro - Hub de Aparelhos,06/09/2025,24:00:00,
New Feature,Em progresso,EaseLabs,05/09/2025,23:07,
New Feature,Em progresso,EaseLabs,05/09/2025,23:08,
New Feature,Pendente,EaseLabs,05/09/2025,23:10,
Bug,Entregue,Sintesc,05/09/2025,00:11,-28:55:00
Bug,Entregue,Sintesc,05/09/2025,-00:23:00,-35:21:00
New Feature,Pendente,Sintesc,04/09/2025,-00:22:00,-105:20:00
Bug,Entregue,Claro - Hub de Aparelhos,04/09/2025,-00:18:00,-01:41:00
Bug,Entregue,Claro - Hub de Aparelhos,04/09/2025,-00:42:00,02:05
Bug,Entregue,Sintesc,04/09/2025,00:04,-73:12:00
Bug,Entregue,Claro - Hub de Aparelhos,04/09/2025,00:16,-03:11:00
Bug,Em progresso,Claro - Antiquebra,03/09/2025,-00:28:00,-113:20:00
Bug,Em progresso,Claro - Antiquebra,03/09/2025,-00:22:00,-113:20:00
New Feature,Pendente,Claro - Hub de Aparelhos,03/09/2025,20:49,
New Feature,Pendente,Claro - Hub de Aparelhos,03/09/2025,00:16,-116:04:00
New Feature,Pendente,Claro - Hub de Aparelhos,03/09/2025,23:53,
New Feature,Entregue,Sintesc,03/09/2025,-00:27:00,07:00
New Feature,Em progresso,Dr. de Todos,02/09/2025,22:44,
New Feature,Pendente,Mais Alívio,02/09/2025,00:16,-126:20:00
Bug,Entregue,Mais Alívio,02/09/2025,23:31,40:09:00
Bug,Entregue,Mais Alívio,02/09/2025,-00:22:00,16:04
New Feature,Entregue,Sintesc,02/09/2025,-02:36:00,21:03
New Feature,Entregue,Claro - Antiquebra,01/09/2025,23:48,-07:23:00
Bug,Entregue,Claro - Antiquebra,01/09/2025,-00:53:00,-09:10:00
Bug,Entregue,Claro - Antiquebra,01/09/2025,-00:48:00,04:10
Bug,Entregue,Claro - Antiquebra,01/09/2025,-00:40:00,05:45
HelpDesk Support,Resolvido,Sintesc,29/08/2025,00:07,-62:38:00
Bug,Entregue,Claro - Hub de Aparelhos,29/08/2025,00:16,19:08
Bug,Em progresso,Claro - Hub de Aparelhos,28/08/2025,-00:07:00,-146:58:00
Bug,Entregue,Sintesc,28/08/2025,21:07,
New Feature,Entregue,Mais Alívio,28/08/2025,23:44,31:47:00
Bug,Entregue,Mais Alívio,28/08/2025,-00:08:00,07:31
Bug,Entregue,Claro - Hub de Aparelhos,27/08/2025,-00:10:00,-03:02:00
Bug,Entregue,Claro - Hub de Aparelhos,26/08/2025,-17:07:00,00:03
Bug,Entregue,Mais Alívio,26/08/2025,-00:35:00,-08:15:00
New Feature,Entregue,Mais Alívio,26/08/2025,23:34,
Bug,Entregue,Claro - Hub de Aparelhos,25/08/2025,-09:58:00,09:10
Bug,Entregue,Mais Alívio,25/08/2025,-02:42:00,07:51
New Feature,Em progresso,Solução em Focco,25/08/2025,-03:11:00,-174:53:00
New Feature,Em progresso,Solução em Focco,25/08/2025,-03:10:00,-174:54:00
Bug,Em progresso,Solução em Focco,25/08/2025,-03:05:00,-174:55:00
New Feature,Em progresso,Solução em Focco,25/08/2025,-03:10:00,-174:56:00
Bug,Em progresso,Solução em Focco,25/08/2025,-03:04:00,-174:57:00
Bug,Em progresso,Solução em Focco,25/08/2025,-02:53:00,-174:58:00
New Feature,Em progresso,Solução em Focco,25/08/2025,-02:51:00,-174:59:00
Bug,Entregue,Sintesc,22/08/2025,-00:30:00,-96:47:00
New Feature,Entregue,Jaguar Mining,22/08/2025,21:13,
HelpDesk Support,Resolvido,Jaguar Mining,22/08/2025,06:35,
New Feature,Entregue,Sintesc,22/08/2025,23:14,
Bug,Entregue,Claro - Hub de Aparelhos,21/08/2025,23:17,
Bug,Entregue,Claro - Hub de Aparelhos,21/08/2025,23:23,
New Feature,Entregue,Jaguar Mining,21/08/2025,21:22,
New Feature,Entregue,Jaguar Mining,21/08/2025,02:02,
Bug,Entregue,Sintesc,21/08/2025,-04:08:00,-13:54:00
New Feature,Entregue,EaseLabs,21/08/2025,-03:03:00,-38:19:00
Bug,Em progresso,Solução em Focco,21/08/2025,-03:17:00,-191:12:00
New Feature,Pendente,Solução em Focco,21/08/2025,-03:27:00,-191:24:00
New Feature,Pendente,Solução em Focco,21/08/2025,-03:26:00,-191:26:00
New Feature,Pendente,Solução em Focco,21/08/2025,-03:22:00,-191:26:00
Bug,Em progresso,Solução em Focco,21/08/2025,-03:19:00,-191:27:00
Bug,Entregue,Sintesc,21/08/2025,-00:30:00,-16:47:00
Bug,Entregue,Sintesc,21/08/2025,-00:28:00,-117:34:00
Bug,Entregue,Sintesc,21/08/2025,-00:25:00,-112:37:00
Bug,Entregue,Sintesc,21/08/2025,-00:21:00,-16:46:00
New Feature,Entregue,Jaguar Mining,20/08/2025,23:57,
New Feature,Entregue,Sintesc,20/08/2025,23:39,-95:25:00
New Feature,Entregue,Sintesc,20/08/2025,23:27,
Bug,Entregue,Sintesc,20/08/2025,-00:17:00,-115:37:00
New Feature,Pendente,Sintesc,19/08/2025,-00:57:00,-207:33:00
New Feature,Em progresso,Claro - Hub de Aparelhos,18/08/2025,22:22,
Bug,Entregue,Claro - Hub de Aparelhos,18/08/2025,-01:50:00,-46:15:00
New Feature,Entregue,Sintesc,18/08/2025,-02:46:00,-138:53:00
Bug,Entregue,Mais Alívio,18/08/2025,-02:42:00,11:00
Bug,Entregue,Mais Alívio,14/08/2025,00:18,-02:31:00
New Feature,Pendente,Claro - Antiquebra,13/08/2025,22:48,
New Feature,Entregue,Claro - Hub de Aparelhos,13/08/2025,20:48,
Bug,Entregue,Mais Alívio,13/08/2025,-03:05:00,-14:29:00
Bug,Entregue,EaseLabs,13/08/2025,-03:00:00,-86:36:00
Bug,Entregue,Sintesc,13/08/2025,-03:31:00,-96:46:00
Bug,Entregue,Claro - Antiquebra,12/08/2025,-00:17:00,-49:42:00
Bug,Entregue,Claro - Hub de Aparelhos,12/08/2025,00:02,22:48
New Feature,Entregue,EaseLabs,12/08/2025,23:31,
Bug,Entregue,Claro - Antiquebra,12/08/2025,-00:56:00,-56:02:00
Bug,Entregue,Mais Alívio,12/08/2025,00:06,-22:41:00
HelpDesk Support,Resolvido,Kaptha Lead,11/08/2025,23:07,39:42:00
HelpDesk Support,Resolvido,Kaptha Lead,11/08/2025,20:54,44:54:00
Bug,Entregue,Claro - Antiquebra,09/08/2025,-01:04:00,22:34
Bug,Entregue,Claro - Antiquebra,08/08/2025,-02:21:00,-28:53:00
Bug,Entregue,Mais Alívio,08/08/2025,-16:27:00,07:11
Bug,Entregue,Mais Alívio,08/08/2025,-02:05:00,-58:38:00
New Feature,Entregue,Claro - Antiquebra,08/08/2025,20:26,
HelpDesk Support,Resolvido,Claro - Antiquebra,08/08/2025,19:54,-80:54:00
HelpDesk Support,Resolvido,Kaptha Lead,08/08/2025,19:33,43:33:00
HelpDesk Support,Resolvido,Kaptha Lead,08/08/2025,19:38,31:24:00
HelpDesk Support,Resolvido,Kaptha Lead,08/08/2025,07:30,31:30:00
Bug,Em progresso,Mais Alívio,08/08/2025,00:06,-260:32:00
HelpDesk Support,Resolvido,Mais Alívio,08/08/2025,23:29,14:17
Bug,Entregue,Solução em Focco,08/08/2025,-01:01:00,-161:12:00
Bug,Entregue,Solução em Focco,08/08/2025,-00:59:00,-161:13:00
Bug,Entregue,Solução em Focco,07/08/2025,-02:33:00,-162:51:00
Bug,Entregue,Solução em Focco,07/08/2025,-02:10:00,-163:03:00
HelpDesk Support,Resolvido,Kaptha Lead,07/08/2025,23:53,23:19
Bug,Entregue,Sintesc,07/08/2025,00:16,-00:19:00
Bug,Entregue,Claro - Hub de Aparelhos,06/08/2025,-00:25:00,-117:58:00
New Feature,Entregue,EaseLabs,06/08/2025,22:25,
HelpDesk Support,Resolvido,Kaptha Lead,06/08/2025,-25:06:00,-01:26:00
HelpDesk Support,Resolvido,Sintesc,06/08/2025,00:15,-38:31:00
HelpDesk Support,Resolvido,Mais Alívio,05/08/2025,23:48,08:48
HelpDesk Support,Resolvido,Kaptha Lead,05/08/2025,23:45,39:47:00
Bug,Entregue,Mais Alívio,05/08/2025,00:17,23:19
New Feature,Entregue,Jaguar Mining,05/08/2025,23:30,
HelpDesk Support,Resolvido,Sintesc,05/08/2025,00:14,22:05
New Feature,Em progresso,Sintesc,05/08/2025,22:21,
HelpDesk Support,Resolvido,Dr. de Todos,04/08/2025,22:01,-119:48:00
HelpDesk Support,Resolvido,Kaptha Lead,04/08/2025,23:40,-03:13:00
HelpDesk Support,Resolvido,Mais Alívio,04/08/2025,00:08,-30:35:00
New Feature,Entregue,Sintesc,01/08/2025,-00:50:00,-217:20:00
HelpDesk Support,Resolvido,Kaptha Lead,01/08/2025,21:47,-07:12:00
HelpDesk Support,Resolvido,Kaptha Lead,01/08/2025,21:49,-07:15:00
HelpDesk Support,Resolvido,Jaguar Mining,01/08/2025,23:56,
HelpDesk Support,Resolvido,Kaptha Lead,01/08/2025,23:53,23:41
Bug,Em progresso,Claro - Antiquebra,01/08/2025,00:03,-321:15:00
New Feature,Entregue,Sintesc,01/08/2025,22:41,
Bug,Entregue,Claro - Antiquebra,01/08/2025,00:09,-218:49:00
Bug,Entregue,Claro - Hub de Aparelhos,01/08/2025,-00:41:00,-19:52:00
HelpDesk Support,Resolvido,Jaguar Mining,01/08/2025,23:34,
HelpDesk Support,Fazendo,Claro - Antiquebra,31/07/2025,23:39,-281:20:00
HelpDesk Support,Resolvido,Claro - Antiquebra,31/07/2025,23:36,-25:31:00
Bug,Entregue,Claro - Antiquebra,31/07/2025,-00:29:00,-52:18:00
HelpDesk Support,Resolvido,EaseLabs,31/07/2025,-00:12:00,-188:45:00
Bug,Entregue,Sintesc,31/07/2025,00:15,22:30
Bug,Entregue,Claro - Antiquebra,31/07/2025,-00:30:00,-57:37:00
HelpDesk Support,Resolvido,Jaguar Mining,31/07/2025,22:46,
New Feature,Entregue,Claro - Hub de Aparelhos,31/07/2025,22:23,
HelpDesk Support,Pendente,EaseLabs,30/07/2025,-313:20:00,-289:20:00
New Feature,Entregue,Claro - Hub de Aparelhos,30/07/2025,-04:27:00,
New Feature,Entregue,Claro - Hub de Aparelhos,30/07/2025,23:28,
Bug,Entregue,Claro - Hub de Aparelhos,30/07/2025,00:14,03:03
Bug,Entregue,Mais Alívio,30/07/2025,-00:21:00,-110:07:00
HelpDesk Support,Resolvido,Jaguar Mining,30/07/2025,23:47,
Bug,Entregue,Claro - Hub de Aparelhos,29/07/2025,-06:09:00,17:30
Bug,Entregue,Mais Alívio,29/07/2025,22:41,-115:07:00
Bug,Entregue,Orgafarma,29/07/2025,-15:08:00,08:31
New Feature,Entregue,Mais Alívio,29/07/2025,00:16,
New Feature,Pendente,Sintesc,29/07/2025,23:52,
Bug,Em progresso,Claro - Antiquebra,29/07/2025,00:07,-348:40:00
New Feature,Em progresso,Claro - Hub de Aparelhos,28/07/2025,23:39,
Bug,Entregue,Mais Alívio,28/07/2025,-46:24:00,-38:44:00
Bug,Entregue,Claro - Hub de Aparelhos,28/07/2025,-00:07:00,20:48
Bug,Entregue,Claro - Hub de Aparelhos,28/07/2025,22:03,
Bug,Entregue,Claro - Antiquebra,28/07/2025,00:15,01:44
Bug,Entregue,Claro - Hub de Aparelhos,25/07/2025,23:45,
Bug,Entregue,Claro - Hub de Aparelhos,25/07/2025,23:57,
Bug,Entregue,Mais Alívio,25/07/2025,00:00,03:33
Bug,Entregue,Claro - Hub de Aparelhos,24/07/2025,23:53,
New Feature,Entregue,Mais Alívio,24/07/2025,00:02,-102:46:00
New Feature,Entregue,Claro - Antiquebra,23/07/2025,-199:35:00,
Bug,Entregue,Claro - Hub de Aparelhos,23/07/2025,19:11,
Bug,Entregue,Mais Alívio,22/07/2025,-01:39:00,-15:19:00
HelpDesk Support,Pendente,Mais Alívio,22/07/2025,21:32,-339:22:00
New Feature,Em progresso,Mais Alívio,22/07/2025,21:36,
Bug,Entregue,Mais Alívio,22/07/2025,00:14,20:41
HelpDesk Support,Resolvido,Sintesc,22/07/2025,-00:30:00,16:00
HelpDesk Support,Cancelado,EaseLabs,21/07/2025,-00:45:00,08:00
New Feature,Pendente,Claro - Hub de Aparelhos,21/07/2025,23:50,
New Feature,Entregue,Claro - Hub de Aparelhos,21/07/2025,23:32,
New Feature,Pendente,Mais Alívio,21/07/2025,21:57,
Bug,Entregue,Mais Alívio,21/07/2025,-01:30:00,16:22
Bug,Entregue,Claro - Hub de Aparelhos,21/07/2025,22:23,
HelpDesk Support,Resolvido,Dr. de Todos,21/07/2025,-00:14:00,-03:37:00
New Feature,Entregue,EaseLabs,21/07/2025,20:32,
Bug,Entregue,Sintesc,18/07/2025,-02:18:00,00:00
Bug,Entregue,Claro - Hub de Aparelhos,18/07/2025,11:36,
Bug,Entregue,Claro - Hub de Aparelhos,18/07/2025,-02:05:00,11:19
Bug,Entregue,Dr. de Todos,18/07/2025,-03:31:00,20:08
New Feature,Reaberto,Claro - Hub de Aparelhos,18/07/2025,16:00,
Bug,Entregue,Sintesc,17/07/2025,-07:44:00,15:55
New Feature,Entregue,EaseLabs,16/07/2025,-56:53:00,-32:53:00
Bug,Entregue,Mais Alívio,16/07/2025,-74:21:00,-50:41:00
Bug,Entregue,Sintesc,16/07/2025,-06:43:00,16:56
Bug,Entregue,Mais Alívio,16/07/2025,-74:48:00,-51:08:00
Bug,Entregue,Sintesc,16/07/2025,-06:21:00,17:18
Bug,Entregue,Claro - Hub de Aparelhos,15/07/2025,09:58,
Bug,Entregue,Sintesc,15/07/2025,-36:31:00,-12:51:00
Bug,Entregue,Claro - Hub de Aparelhos,15/07/2025,-14:50:00,08:49
Bug,Entregue,Claro - Antiquebra,15/07/2025,-41:52:00,-18:12:00
Bug,Entregue,Sintesc,14/07/2025,-41:36:00,-17:58:00
New Feature,Entregue,EaseLabs,14/07/2025,-97:38:00,-73:58:00
Bug,Entregue,Claro - Hub de Aparelhos,14/07/2025,-04:36:00,16:20
New Feature,Entregue,Sintesc,14/07/2025,-337:20:00,
Bug,Entregue,Sintesc,14/07/2025,-02:57:00,20:42
New Feature,Pendente,Sintesc,11/07/2025,-418:20:00,
Bug,Entregue,EaseLabs,11/07/2025,-29:04:00,-05:24:00
Bug,Entregue,Sintesc,11/07/2025,-14:31:00,09:08
Bug,Entregue,Claro - Hub de Aparelhos,10/07/2025,-01:59:00,21:40
Bug,Entregue,Mais Alívio,10/07/2025,-199:45:00,-192:05:00
Bug,Entregue,Claro - Antiquebra,10/07/2025,-71:40:00,-48:00:00
Bug,Entregue,EaseLabs,09/07/2025,-43:02:00,-19:22:00
Bug,Entregue,Claro - Antiquebra,09/07/2025,-73:15:00,-49:35:00
New Feature,Pendente,Claro - Manifestos RMG,09/07/2025,-435:40:00,
New Feature,Pendente,Claro - Manifestos RMG,09/07/2025,-435:42:00,
New Feature,Entregue,EaseLabs,09/07/2025,-47:12:00,-23:32:00
HelpDesk Support,Resolvido,Claro - Hub de Aparelhos,08/07/2025,-00:38:00,20:50
Bug,Entregue,Mais Alívio,08/07/2025,-04:48:00,18:51
Bug,Entregue,Mais Alívio,08/07/2025,-213:46:00,-206:06:00
Bug,Entregue,Mais Alívio,08/07/2025,-04:51:00,18:48
New Feature,Em progresso,Mais Alívio,08/07/2025,-447:13:00,
New Feature,Em progresso,Mais Alívio,08/07/2025,-447:41:00,
New Feature,Entregue,Mais Alívio,08/07/2025,-60:08:00,
New Feature,Entregue,EaseLabs,08/07/2025,-134:37:00,-110:58:00
Bug,Entregue,Claro - Antiquebra,08/07/2025,-96:31:00,-72:51:00
Bug,Entregue,Claro - Antiquebra,08/07/2025,-88:08:00,-64:35:00
Bug,Entregue,Sintesc,08/07/2025,-06:22:00,17:17
New Feature,Entregue,Claro - Hub de Aparelhos,07/07/2025,-39:00:00,
New Feature,Pendente,Claro - Antiquebra,05/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Em progresso,Claro - Hub de Aparelhos,04/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Pendente,Claro - Antiquebra,04/07/2025,-457:20:00,
New Feature,Entregue,Claro - Hub de Aparelhos,04/07/2025,-16:09:00,07:49
Bug,Entregue,Mais Alívio,04/07/2025,-15:47:00,07:52
New Feature,Entregue,Sintesc,04/07/2025,-426:35:00,-402:35:00
Bug,Entregue,Sintesc,04/07/2025,-426:40:00,-402:40:00
Bug,Entregue,Claro - Hub de Aparelhos,04/07/2025,19:46,
Bug,Entregue,Mais Alívio,04/07/2025,-06:21:00,17:18
New Feature,Entregue,Claro - Antiquebra,03/07/2025,-406:38:00,
New Feature,Entregue,Claro - Manifestos RMG,03/07/2025,-10:31:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-465:42:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:20:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:26:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:31:00,-442:31:00
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:34:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:37:00,
New Feature,Entregue,Claro - Manifestos RMG,03/07/2025,-11:31:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:40:00,
New Feature,Pendente,Claro - Manifestos RMG,03/07/2025,-466:41:00,
New Feature,Entregue,Sintesc,03/07/2025,20:37,44:37:00
New Feature,Entregue,Claro - Antiquebra,03/07/2025,-96:51:00,
New Feature,Pendente,Mais Alívio,02/07/2025,-474:41:00,
Bug,Entregue,Mais Alívio,02/07/2025,-31:13:00,-07:33:00
New Feature,Entregue,Claro - Hub de Aparelhos,02/07/2025,-241:37:00,
Bug,Entregue,Claro - Antiquebra,02/07/2025,-80:55:00,-57:15:00
New Feature,Entregue,EaseLabs,02/07/2025,-292:03:00,
New Feature,Entregue,Mais Alívio,02/07/2025,-50:23:00,
New Feature,Entregue,Claro - Antiquebra,01/07/2025,05:09,29:09:00
New Feature,Entregue,Claro - Antiquebra,01/07/2025,-142:30:00,
Bug,Entregue,Claro - Hub de Aparelhos,01/07/2025,-10:19:00,-31:38:00
Bug,Entregue,Sintesc,01/07/2025,-01:52:00,21:47
Bug,Entregue,Claro - Hub de Aparelhos,01/07/2025,19:10,
Bug,Entregue,Claro - Hub de Aparelhos,01/07/2025,19:10,
New Feature,Entregue,Mais Alívio,01/07/2025,-422:08:00,
New Feature,Em progresso,Mais Alívio,30/06/2025,-493:58:00,
New Feature,Entregue,Mais Alívio,30/06/2025,-10:36:00,13:03
Bug,Entregue,Sintesc,30/06/2025,-48:44:00,-105:46:00
New Feature,Entregue,Claro - Antiquebra,29/06/2025,-120:53:00,-96:53:00
New Feature,Pendente,Claro - Antiquebra,29/06/2025,-497:20:00,-473:20:00
New Feature,Pendente,Claro - Antiquebra,28/06/2025,-497:20:00,
New Feature,Entregue,Claro - Antiquebra,28/06/2025,13:48,37:48:00
New Feature,Pendente,Claro - Antiquebra,28/06/2025,-497:20:00,-473:20:00
Bug,Entregue,Claro - Antiquebra,28/06/2025,22:57,
Bug,Entregue,Claro - Antiquebra,28/06/2025,24:00:00,
Bug,Entregue,Claro - Antiquebra,27/06/2025,-71:40:00,-48:00:00
New Feature,Entregue,Claro - Antiquebra,27/06/2025,-342:14:00,
Bug,Entregue,Claro - Antiquebra,27/06/2025,-102:03:00,-78:23:00
Bug,Entregue,Claro - Antiquebra,27/06/2025,-102:04:00,-78:24:00
Bug,Entregue,Claro - Antiquebra,27/06/2025,-102:05:00,-78:25:00
New Feature,Entregue,EaseLabs,27/06/2025,-82:33:00,-58:33:00
New Feature,Entregue,Claro - Hub de Aparelhos,27/06/2025,-23:54:00,-17:52:00
Bug,Entregue,Claro - Antiquebra,26/06/2025,21:55,
New Feature,Entregue,Claro - Hub de Aparelhos,26/06/2025,-199:48:00,
Bug,Pendente,Visione,25/06/2025,-541:45:00,-518:05:00
New Feature,Em progresso,Mais Alívio,24/06/2025,-522:11:00,
Bug,Entregue,Mais Alívio,24/06/2025,-37:53:00,-14:13:00
Bug,Entregue,Sintesc,24/06/2025,-504:56:00,-489:16:00
Bug,Entregue,Claro - Hub de Aparelhos,24/06/2025,-103:31:00,-79:51:00
New Feature,Entregue,Claro - Antiquebra,24/06/2025,-184:12:00,-160:12:00
Bug,Entregue,Sintesc,24/06/2025,-05:09:00,18:30
New Feature,Entregue,Claro - Antiquebra,24/06/2025,-188:47:00,-164:47:00
New Feature,Em progresso,Claro - Antiquebra,24/06/2025,-528:27:00,-504:27:00
New Feature,Entregue,Claro - Antiquebra,23/06/2025,-153:39:00,-129:39:00
Bug,Entregue,Claro - Antiquebra,23/06/2025,07:07,31:07:00
New Feature,Entregue,Claro - Antiquebra,23/06/2025,-74:14:00,
Bug,Entregue,Mais Alívio,23/06/2025,-87:34:00,-63:54:00
New Feature,Entregue,Sintesc,23/06/2025,-514:23:00,
Bug,Entregue,Mais Alívio,23/06/2025,-47:20:00,-23:40:00
New Feature,Entregue,Sintesc,23/06/2025,-292:41:00,
New Feature,Entregue,Jaguar Mining,23/06/2025,-85:49:00,
Bug,Entregue,Claro - Antiquebra,23/06/2025,-23:40:00,00:00
New Feature,Pendente,Sintesc,20/06/2025,-537:54:00,
New Feature,Entregue,Sintesc,20/06/2025,-89:08:00,
New Feature,Pendente,Sintesc,20/06/2025,-539:05:00,
New Feature,Pendente,Sintesc,20/06/2025,-539:50:00,
New Feature,Em progresso,Mais Alívio,20/06/2025,-540:53:00,
New Feature,Em progresso,Mais Alívio,20/06/2025,-540:55:00,
Bug,Entregue,Sintesc,20/06/2025,-03:14:00,20:22
Bug,Entregue,Claro - Antiquebra,20/06/2025,-202:45:00,
New Feature,Entregue,EaseLabs,20/06/2025,-240:05:00,
New Feature,Entregue,Sintesc,20/06/2025,-153:18:00,
Bug,Entregue,Mais Alívio,18/06/2025,-193:42:00,-170:02:00
Bug,Entregue,Sintesc,18/06/2025,-10:17:00,-50:37:00
New Feature,Em progresso,Mais Alívio,18/06/2025,-559:55:00,
Bug,Entregue,Sintesc,17/06/2025,00:20,24:00:00
Bug,Entregue,Claro - Hub de Aparelhos,17/06/2025,-05:40:00,-112:11:00
New Feature,Entregue,Mais Alívio,17/06/2025,-176:07:00,-152:07:00
New Feature,Entregue,Mais Alívio,16/06/2025,-101:34:00,
Bug,Entregue,Sintesc,16/06/2025,-15:23:00,-10:14:00
Bug,Entregue,Sintesc,16/06/2025,-91:13:00,-67:33:00
New Feature,Entregue,EaseLabs,16/06/2025,-37:28:00,
Bug,Entregue,Dr. de Todos,16/06/2025,-111:58:00,-88:18:00
Bug,Entregue,EaseLabs,16/06/2025,-07:27:00,16:12
Bug,Entregue,Claro - Antiquebra,16/06/2025,-63:40:00,-60:00:00
